=====================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
WordCnt             LINK_00               LINK_01               LINK_02               LINK_03               LINK_04               LINK_05               LINK_06               LINK_07               LINK_08               LINK_09               LINK_10               LINK_11               LINK_12               LINK_13               LINK_14               LINK_15               LINK_16               LINK_17               LINK_18               LINK_19               LINK_20               LINK_21               LINK_22               LINK_23               LINK_24               LINK_25               LINK_26               LINK_27               LINK_28               LINK_29               LINK_30               LINK_31               LINK_32               LINK_33               LINK_34               LINK_35               LINK_36               LINK_37               LINK_38               LINK_39               LINK_40               LINK_41               LINK_42               LINK_43               LINK_44               LINK_45               LINK_46               LINK_47
#BeginData
0x0000   0x589022c35ad83c00    0x5b434e325cbb6000    0x72c0b136bfe5d400    0x7aef9d23a3e46300    0xae57701fd7f2ba00    0x949ac89d37a47100    0x5a3d7fc0e9a65300    0x9cac2b82641a6700    0x197ea8d9a78fd300    0x59f78916dfae7300    0x56e5dab947f72800    0x270cf245a727ca00    0xd65c9f5d4d113f00    0x665cce8d37bb9000    0x74bb13c8eb846f00    0x04d75cf10ef2c600    0x79dcf44121b7a400    0xd40df756abba8300    0x5e690a70c10aae00    0x3ba079fbdd7c1d00    0x66b3567c75494100    0x62018f6da7c47600    0xb4bd97c52a185b00    0x380f9c954eaf2c00    0xde5c1283ecbc6c00    0x71a68811e2264400    0x817c51c5c2597100    0x5d521650b4f3b400    0xf6a977714af42500    0xc1259a5b1fff9000    0x439d48822482a600    0xf29c4580b6a63300    0x8012cedd6bcd4700    0xb67c1872c0b96900    0x8657dbe1ae06c900    0x3477d04e20357500    0xdf53e813a7ca8800    0x65b066a9a252b500    0xc9f179edecc15900    0xc72f04927fa99400    0x79fa80768c69b300    0xa8dbc471cd129f00    0xb61f01193fdb2200    0x5980b9f55ee54500    0x961229a1f2c54c00    0x10ea8cbe87bbd600    0xdc8f087a0f5aa200    0x8fe496903d250b00    
0x0001   0x6b5d5c8f4842c687    0x38d33bbc55be4538    0x1c3245e7b37ef2da    0x14d0ac7144c69eb9    0x097287d26c85655c    0x84b752f871bf0167    0x91bfd7848fbc23d0    0x339a39c2769eab73    0xbac8cba661005638    0x333c3941e21ce9d0    0x78a5c977b7725c65    0xbfaa1fb7eaf62311    0x61de4865c18ec790    0xc8ed87fde2907482    0xf2f740c1f8cabc37    0x28196dc298a44256    0xc2d5129ea5dc565b    0x94cb1c1c9dfe56f2    0xcef069042c1c5f96    0x5044f684f332379d    0xde467373e336a377    0x6d5ebc97143ee3e1    0x4795caa48d25f841    0xa7bca54fd1cd988c    0xacb98e733ee7cd47    0x30ab55c95f21f64b    0x7f9143f424609e7b    0x7d2f0b5fa941f27f    0x8238ff094b84d2a6    0x803e0806b8a6819c    0x7c44d1e399967082    0xa6b9ee472d804044    0x7fea0f5b8f54e4da    0x3bb6b055ccbe297e    0x3c793ea1ee610ec5    0x87e2d1421aff9849    0x678e2d15d44ea4eb    0x3fe255e1a4a022d5    0x9ef367a162125769    0xea00ff13e0a5cc0a    0xf940efb5b9005cf4    0x46830015e8420e57    0x6fb4fbfbb299414a    0xc27319928b2d30b6    0x705ef622c4f5eb67    0x4ccdeca0ac9432e1    0xf94e0f6459c836b8    0x084506f0f370fa8d    
0x0002   0xcf3137fb9d5d2606    0x69973bc0757cc419    0x16a83985cbeea3e2    0x5a7964d271065e17    0x199bcf0ab9c55af6    0x55bd4f44a1caffcd    0xa37b7c9a04198241    0xdf2c9e0ebe8a4a61    0x099d252d22e403db    0xb489c0a3acd7982d    0xf8fbb3d4f181a720    0xc82936c70ccf38f1    0x351a9305d68da0c9    0xab690235be66bbb6    0xd1dfeffe4be6cc61    0x384cfa44170f5180    0xd7f2664e93c2fec0    0xccc7e992b46b2730    0x88d1be7b12ffbe5a    0xe3ffe075b32ea5c6    0x1ce3ede10370e26e    0x35729fb273533afc    0xf799d2f76a4371d0    0x3317e38ab426a580    0xf098e871c3608924    0xe28f6444af02a4a0    0xc529712eb85e7bad    0xaddcbdbe7ab55e8f    0x035b7489ff44d5a6    0x793cdc7f88db4c2b    0x578ddafb053bd355    0x50356a1dcdf43b39    0xdcb4a2a68b0c5740    0x5a20a6f28410fa27    0x472b418e14bbc9b1    0x9a903e7e3803bffd    0xf4add48d5b082205    0x2d6a738794602d01    0x2756a15cab037dbc    0x9debb548765442a2    0x3c5c797715d8f657    0x644c0c44f134075f    0x61a79a864bcb5ae3    0x431b4555889f2ac8    0x7c1cf5326c44feef    0xbd920f6d87b7439c    0x2973a9353c22208e    0xed434b67df7b0a34    
0x0003   0x0f036e810f255100    0xd172e94b636aab00    0xcd37a68101b99300    0x392d75d8f25a4c00    0x08bf4ebbf2364b00    0x680a22b87dd31a00    0xaf81fd1f329a2600    0x89c5b4c09cfd1600    0xa88b2ae7f7423300    0x39ad03c916e9e000    0x47ab959afc935f00    0xbb5db9678b18a600    0xc7397fe5a1c94000    0xe76f9c35b91a2b00    0x34b962a6a9621200    0x83b6b7474e158e00    0xfeafc19c45363a00    0x7ef12fb2001cf300    0x3280da058f5ea600    0xea657865ec740200    0x0aa1327f88e25300    0x9d3f528151ae4600    0x886b6c67980b8200    0x3e424068978e4100    0x6ebf5624a9a6b100    0x21f05d4196c3cc00    0x07e7983c0610eb00    0x549ee4d71b08e900    0x46099af0a17fb000    0xf9bf7e33ed5aaf00    0x53b5b65c6f6f7b00    0x6bcd6411ab788d00    0xa5e59cbba2c7f600    0x8cac24cc400a1b00    0x601dddec9ae40a00    0x840082d3a25b8800    0xeb3477f116720c00    0xb17a47f3c631e600    0xd7545450b2c82c00    0xa86053e02a327e00    0x98828dac65f3c200    0x2cf8fa5ed0302c00    0x62793bebf930d500    0x19891a1b0416e400    0x0d46109fa1b5de00    0xb625b083ab5cfd00    0x579da41f4ea69600    0x4151ceb076207500    
0x0004   0xf574e14212699d36    0x5e55bf3c45d18ef5    0x6fc21c4f67efc660    0x90bb83c1a89da37f    0xbe8ce6cd3c634f7b    0x0efc9b56dcc9ab58    0x99500e75f0d3b3ed    0xd8f9d44b614665e5    0x22822d35922983a4    0x1d9bfb669157dcab    0x0e4e17114c1f71f7    0x4ab7d265bd29e830    0x39c6c9559b9bca0b    0x9bcf38c78998f472    0x8763e6eab88d0617    0xa79a858097d64e8d    0x775786435824b57f    0x9a784ee68ecbfc72    0x19afc6e5549f84ff    0x28da2693c1caf307    0x36453b08d5576941    0x873b88770d05e063    0x5e62ae5cbf554382    0x652fe6c7913bdbd4    0x4035500881ce6d2a    0xd210420557e2bdb1    0xff04aae9ace8d93f    0x4d93f344243ccd06    0x04663d2cab5903bb    0xfe9f7ea056719b88    0x3f032860a506b4f1    0xe39e3cb993b57beb    0xea90989a4b9df7a5    0x236ea68f96884eda    0xcd80bf632052f6dc    0x55a89bd614c2b3be    0x2c789ede98e8d7eb    0x0603c5221f17a115    0x3a187dbd17a545a2    0xb9eb2570170e6ec1    0xf9a3ee4462765f5b    0xa56378a565938ee3    0x8a43c2d1b35088c6    0x2f413ef82ad34d81    0xa3f2b260595927c2    0xc19fe54c74342adc    0xed472e4af150674a    0x57b5e82a2fd8c301    
0x0005   0x0ce9a208888193b5    0xe8df04bb1c36b5d5    0x17b980997ebecfd3    0x1ea1e6bd3dce63c5    0x85d3593014db2d6d    0x95922ef7924778db    0x0b06eb4fc534769c    0xdac544eaf0c445f7    0x5b3e2899561e71d5    0x897de96a962031bf    0x37312a80d474c9e4    0xbed3cbb3d180f230    0x1b2c3ef7eb52f6fb    0x54ba1150cf8c33ab    0x5b188272276f4fb5    0x0ed44b5b156f5bf4    0xed1fb8c1d3d9fb25    0x3663d455a6984793    0x34f89f2427ae71a9    0x15ca8669b6c8c6c2    0xe1ca3d90d1790ff4    0x0a0975b8ac35e240    0x3e11595d3ef11d63    0x4d0c9d66b7beb354    0x66eeb0828b031531    0x49ce5fc4164190e6    0x0c046d8ee884112f    0x9375e14dac748bba    0x1420e43ff32661ee    0x0413b5eabb335bf7    0x6b961982945a030f    0x9706cbb1911a3140    0x84b11c68619395fe    0xf3bc1592dc8b4720    0xe6e4585cc29e187e    0x0aa26c975b06783c    0x555bf974c24d74a7    0x2ad91b808cbc443c    0xec1eebe42aebac3b    0xd8bd71092e64001b    0x4af1fcc3232202dd    0xfbb3739bee164481    0x1d6e305dda8d3fef    0x2187afcd7c3f2c24    0x443449e8b5045aee    0x5549332bafb457f6    0x76d5099cb38b1db0    0xd07cae7a74b6c9a6    
0x0006   0xedcdb69170fa4000    0x28f3d18ba8bc0b00    0xc747c77ea1740c00    0x6a0691a03afbab00    0x8c33d46d3616a600    0xf24c0d4ade793200    0xb42a6b0c418ddd00    0xa6009cf2403ac200    0x2fd3a6e9f0a14700    0xa82b143e48270700    0x653454ed9dd00a00    0x7fef27285339f000    0x0f9c6332746d1300    0xe728a334dbd62d00    0x384c127e332bb800    0xe1d8ae59a7fc9d00    0x34057bf71a0b8800    0x222d8d98caa8da00    0xfe8eb49d32320c00    0xe989c6661c389000    0x289809ec51d5f300    0xa4fce488569d4700    0xdaf6b871d9781500    0x1df83385276ea300    0xb86e1e19298b6600    0x30decac2023ebe00    0x4d823849cb66c300    0x112966e0a4501100    0x109159b73a24e000    0x5e0f361bebf89200    0x18d86a7b5a1e6100    0xacdc5d02e0f89200    0x2de537a210f1e100    0x67a2f944e03aa900    0x9d2976963499eb00    0x7acb7dfe8ce44300    0x9847addf299bc800    0x2ae7367143c19300    0xc1490a4ede85b500    0xf4c8d582cd0f1700    0xea135e4c7ef21d00    0x7d8d4324bb52a000    0xe5e13ea7c2963700    0x940e606723c18600    0xde01b431b97a6a00    0x887a9e78efd02d00    0xac44c65c0f680200    0x2d680b8f6dce1e00    
0x0007   0x488ed46c7f2d3bb5    0x3336fe252d4e1ac9    0xb58a87e1e227b9be    0xd851f268faefd081    0x767cae1b3c80cb71    0xa09b8aade56660d6    0x16029dd6afa80cff    0x941221944632aff0    0x60dcbd4cefc6cc6c    0xbb23b9119432a0bc    0x112f21fe9816dd27    0x292f387358f10082    0x8f4b28060e3e8d17    0xedb7b5282919b40d    0x02af6d2c3e3d78fe    0xfb967f23723a9b0b    0x583781cbf3a22bc0    0x229d6e360b8928d2    0x97a6f920f66f66e4    0x3ba420dbeb26c6a5    0x28c7739a8023c470    0xa3edc0bfaa37f9c8    0x82642075fa99b1ba    0x68040ee788599cb9    0xa16ea3dff107421a    0x8fcda8e4fcee3eb3    0xa890c73aecd68684    0xf1fb4ba986c06dde    0x319f026bd0f8ff7d    0xdf13bfdc0679d012    0x7305c4ba4ccab8fb    0x6e050dc00ff305ed    0xd5f92714abf13940    0x76f81985313cd498    0x26b9a6c02628f749    0xcc14a18c6f50984e    0xa41fdc8b6c437a84    0x7af5bce60b7d1415    0x5aa11cd60c27e6c0    0xe26b95252b851f8f    0xe5202b6ec0a755b8    0xda1a2981c7322f7e    0xff4d0fb9700df5c3    0x55dc68ae69a31c25    0x96365c5a3953c919    0x1b6b326f1f82b7a8    0xf0729c1183f99e41    0x12411e940ddf09e6    
0x0008   0x823ff9917f1add7b    0x88934d66adc9b965    0xfe1a42e0d26e666f    0x8205afcb9e6e698b    0x5ea4dcd9ee3bc031    0x09030ce599c5e259    0x15180bc17e0234e4    0x282714beb4ed2efb    0x08215e85bcbf3c3e    0x6c7fb4f9f5f55faf    0x348e3e8849977887    0xdf5a83935da7b264    0x468e136bab4cf7e5    0xcbdabf687ae4ceb6    0x8d799e7d3e81ab6b    0xc558729a470b10fd    0x56e17148cdf9e8c1    0xac183123c7b0759b    0xe450859c28630be7    0xa4ffc9768b74cb06    0x34ccf21af7f53d3b    0x761a15bbd91da867    0xe2b05c26ea9149fc    0x0345017d58c2d90c    0x93f37a6bb773964a    0x3e3d942fcdb7c9c2    0xd2e1901f5a28140f    0xcae33bb54e193bd2    0x44418cf512def8ba    0x399f24d1af3330d5    0xa68daf0994a3ba1b    0xd3418b4aef98db2d    0xf83cb36837c86ef2    0x5dc99389326ec8e5    0xec89ef516d0e365b    0xff342edbdc4cb6b1    0x6b8b0164fe1de345    0x51c206e3dac2d6e1    0xca37fd41a37439bb    0x416675dab2478a44    0x99b29c78ada7a8c4    0x988ee6d15fcc6e6d    0xbcdbb92f94e113b0    0x8b6455bb9c064adb    0x5b75a3b97facb6e8    0xeb118bee7f3ba326    0x3a172faf90e3b216    0x5fe9394fa93e301d    
